State,Age,Gender,Plan,Price
CO,29,F,SA4,265.79
CO,30,F,SA4,271.52
CO,31,F,SA4,277.25
CO,32,F,SA4,282.98
CO,33,F,SA4,288.72
CO,34,F,SA4,294.45
CO,35,F,SA4,300.18
CO,36,F,SA4,314.02
CO,37,F,SA4,327.87
CO,38,F,SA4,341.71
CO,39,F,SA4,355.55
CO,40,F,SA4,369.4
CO,41,F,SA4,383.24
CO,42,F,SA4,397.08
CO,43,F,SA4,410.92
CO,44,F,SA4,424.77
CO,45,F,SA4,438.61
CO,46,F,SA4,457.38
CO,47,F,SA4,476.15
CO,48,F,SA4,494.92
CO,49,F,SA4,513.69
CO,50,F,SA4,532.46
CO,51,F,SA4,551.23
CO,52,F,SA4,570
CO,53,F,SA4,588.77
CO,54,F,SA4,607.54
CO,55,F,SA4,626.31
CO,56,F,SA4,650.16
CO,57,F,SA4,674.01
CO,58,F,SA4,697.86
CO,59,F,SA4,721.71
CO,60,F,SA4,745.57
CO,61,F,SA4,769.42
CO,62,F,SA4,793.27
CO,63,F,SA4,817.12
CO,64,F,SA4,840.97
